a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
brick-diagonal-power-conjugacy-zero-drift-proof	Spread an invariant measure over the code pieces, compare drifts, and use boundedness of the drift set
brin-thompson-2v-is-torsion-locally-finite	Every finitely generated periodic subgroup of the Brin–Thompson group 2V is finite
brin-thompson-aperiodic-elements-have-logarithmic-movement	An element of nV with a non-periodic point moves some coordinate by more than K within 2^(n(L+2K+1)) steps, so its exponent sums are at least logarithmic infinitely often
brin-thompson-groups-contain-full-groups-of-their-elements	For g in nV and a clopen g-invariant set U, the whole topological full group of g on U (extended by the identity) lies in nV
brin-thompson-groups-contain-infinite-periodic-groups	For some n ≥ 2, the Brin–Thompson group nV contains an infinite finitely generated periodic group
brin-thompson-torsion-has-clopen-fixed-sets-proof	Proof that torsion in nV fixes clopen sets, that minimal dihedral actions by involutions of nV are free, and of the level-coboundary finiteness criterion
brin-thompson-torsion-has-clopen-fixed-sets	Torsion elements of Brin–Thompson groups nV fix clopen sets, so every minimal dihedral action by involutions of nV is free, and a finitely generated subgroup of nV is finite exactly when its level cocycle is a continuous coboundary
bs-1-m-embeds-in-brin-thompson-3v-for-odd-m	For every odd m >= 3 the Baumslag-Solitar group BS(1,m) embeds in the Brin-Thompson group 3V
bs-1-m-in-3v-via-odd-smart-renormalization	A height-m renormalization of SMART_m induced on level-zero moves gives BS(1,m) in 3V for every odd m
bs-1-minus-m-embeds-in-brin-thompson-3v-for-odd-m	For every odd m >= 3 the Baumslag-Solitar group BS(1,-m) embeds in the Brin-Thompson group 3V
bs-chain-configurations-exist-in-finite-germ-extensions-of-v	A finitely generated finite germ extension of Thompson's V with two singular orbits of rational points contains a Baumslag-Solitar chain configuration, realized tamely by translation, dilation and a dyadic square map on the extended line
bs-class-faithful-member-type-a-proof	Glue the faithful member onto the input along a common finite-index subgroup, then apply the faithful type (A) theorem
bs-class-with-faithful-member-lies-in-type-a-class	If the generalized Baumslag--Solitar class over a finitely presented group has one faithful member, the whole class lies in the permutational Boone--Higman class
bs-classes-over-virtually-quotient-free-groups-have-big-kernels	If the finite residual of G has finite index, every member of BS_G has a tree kernel of finite index in its vertex groups, and is virtually the kernel semidirect a free group
bs-conjugator-invariant-compactum-proof	The BS(1,k) conjugator divides levels of a cocompactly wandering map by k, so a bounded band of fundamental domains is backward invariant and its backward limit is a compact invariant set
bs-conjugators-of-wandering-maps-have-invariant-compacta	If a homeomorphism a of a compact space acts properly and cocompactly on its wandering set, every b with b a b^-1 = a^k (|k| >= 2) has a nonempty compact invariant subset of that wandering set; so in Baumslag--Gersten actions a is never of finite Morse--Smale type
bs-quotient-free-big-kernel-proof	Finite residuals are characteristic, lie in every finite-index subgroup, and are carried onto each other by the edge maps
bs-quotients-keeping-a-commutator-have-a-commensurated-core	In every quotient of BS(m,n) (gcd(m,n) = 1, |m|, |n| ≥ 2) that keeps [tat^-1, a] nontrivial, the kernel is free, the image of <a> is an infinite cyclic commensurated core-free subgroup whose normal closure is the kernel of a modular character onto Z, and an isolated such quotient has a rigid normal structure
bs-quotients-keeping-a-commutator-need-distortion	In a quotient of BS(m,n) (gcd(m,n) = 1, 2 ≤ |m| < |n|) that keeps [tat^-1, a], the image of a is a distorted element of infinite order; so no such quotient is torsion-by-(a group with undistorted cyclic subgroups) or torsion-by-PL, which excludes every Thompson-, Stein-, Houghton- and hyperbolic-type isolated host
bs12-base-generator-centralizer-proof	Put BS(1,4) = <a^2, b> in PSL_2(Z[1/2]), cut out <b> by the tree-vertex stabilizer PSL_2(Z), and induce from index two
bs12-base-generator-is-a-centralizer-in-b-a	The cyclic subgroup generated by the base generator of BS(1,2) is a centralizer in a B_A overgroup, so the coset lamplighters over BS(1,2)/<b> and the identity-edge HNN <a, b, t | b^a = b^2, [b, t] = 1> lie in B_A although they are not quasi-linear
busemann-transplants-give-free-sfts-on-building-lattices	Corner-deterministic strongly aperiodic Z^r-SFTs transplant along Busemann coordinates to free SFTs over building lattices; with Kari–Papasoglu tiles, every simply-transitive rank-2 building lattice with an SFT boundary shift carries a strongly aperiodic SFT
busemann-transplants-of-rigid-z2-sfts-are-quantum-rigid	The Busemann transplant of a quantum-rigid corner-deterministic Z^r-SFT to a building lattice is quantum rigid, provided the boundary shift is; reduced here to one centrality statement
c-tilde-artin-groups-satisfy-permutational-boone-higman	Every Euclidean Artin group of type C̃_n embeds in B_(n+2), satisfies permutational Boone--Higman, and embeds in a finitely presented simple group
cantor-cover-germ-extension-of-v-is-fp-simple	The full germ extension of V by all germs commuting with its dyadic V-germs is a finitely presented simple group containing the lamplighter C(C,Z) ⋊ V and Q
cat0-groups-on-hyperbolic-plane-times-tree-lie-in-type-a-class	Every group acting geometrically on the hyperbolic plane times a locally finite tree lies in the permutational Boone--Higman class, and so does every group on a symmetric space times a tree whose fibre groups are residually finite irreducible arithmetic lattices
cat0-groups-on-symmetric-space-times-tree-lie-in-type-a-class	Every group with virtually torsion-free fibre groups acting geometrically on an irreducible symmetric space of noncompact type times a locally finite tree lies in the permutational Boone--Higman class
cat0-groups-satisfy-boone-higman	Every CAT(0) group embeds in a finitely presented simple group
cat0-groups-with-a-tree-factor-lie-in-type-a-class	A CAT(0) group on a product with a tree factor lies in the permutational Boone--Higman class whenever its fibre group has a faithful Baumslag--Solitar member; in particular every CAT(0) group on Euclidean space times a tree does
cat0-hyperbolic-plane-tree-type-a-proof	The fibre group is virtually a surface group or commensurable with an arithmetic lattice; feed it to the tree-factor theorem
cat0-symmetric-space-tree-type-a-proof	Split along the tree; a torsion-free fibre lattice either has a non-discrete commensurator, giving a faithful Hecke member, or forces a virtual product with a free group
cat0-tree-factor-type-a-proof	Split along the tree factor into a graph of fibre groups, then apply the faithful-member theorem for BS_G
central-extension-shear-lift-into-rational-projective-groups	Shear lift - a central Z-extension of a subgroup of the rational projective full group T_m whose class dies on its action groupoid embeds in T_(m+2), with the centre acting as an integral shear
central-extension-untwisting-over-boundaries	A finite central extension can be realized over a boundary action with the kernel acting freely only if its class dies on every point stabilizer, and stabilizing by the Cuntz groupoid cannot remove this obstruction
central-extension-untwisting-proof	Continuous cocycles splitting the constant extension, their restriction to stabilizers, the retract through a unit, and the square complex count
central-extensions-of-thompson-f-contain-f-proof	The flip reverses Brown's product and acts by −1 on H_2(F), so the flip-twisted juxtaposition diagonal kills H_2(F) and all trivial-coefficient H^2
central-extensions-of-thompson-f-contain-f	Thompson's group F has a self-embedding killing all of H^2(F;A), so every central extension of a group containing F contains F
central-kazhdan-residual-separator-for-boone-higman	The class of groups whose Kazhdan subgroups have only finitely many central elements dying in every finite quotient separates Boone–Higman iff every finitely presented simple group is in it; Deligne's lattice and St_N(R_L) are decidable witnesses outside it, and every rank-one cone host is inside it
centralizer-amalgams-are-free-permutational-wreaths	An amalgam A *_C (C x P) is the free permutational wreath product of P by A over A/C, and it restricts to subgroups of A by intersecting C
centralizer-amalgams-embed-in-relative-holomorphs	For any group G, finite F in G and P ≤ G, the amalgam G *_{C_G(F)} (C_G(F) x P) embeds in the relative holomorph (G * Z) ⋊ Aut_G(G * Z)
